D0000042509167||2021년 제1회 서대문구 보상협의회 개최 결과 보고  일시 : 2021. 4. 29.(목) ~ 5. 4.(화)  심의위원 : 서대문구 보상협의회 위원 12명  심의방법 : 서면심의  심의안건 1) 판결(부당이득금 소송)에 따른 도로사용료 납부 토지의 매입 결정 2) 도시계획시설사업 구간 외 잔여지 등의 확대보상 여부  심의결과 ❍ 심의안건 : 2건
183062||평창 오대천을 열목어의 천국으로…2천 마리 방류 □ 평창 오대천에 무분별한 남획과 외래어종의 유입으로 서식 개체수가 크게 줄어든 열목어를 복원해 과거 집단 서식지로서의 영광을 되찾기 위한 시도가 추진된다. □ 환경부 원주지방환경청은 오는 19일(금) 오후 3시 30분 평창 오대천에 멸종위기 야생생물Ⅱ급으로 신규 지정(2012. 5. 31.)된 열목어 2,000마리를 방류한다. ○ 이날 행사에는 원주지방환경청, 월정사, 강원대학교 어류연구센터, 강원도 환동해본부, 오대산국립공원사무소, 평창군 등 6개 기관이 참여한다. □ 이번 열목어 방류행사에서는 서식지 적응, 외래어종인 산천어와의 경쟁력 등을 고려해 다양한 크기(10∼30cm)의 열목어 개체가 방류될 예정이다. ○ 원주지방환경청은 이번 행사를 월정사문화축전과 연계해 실시하는 한편, 토속어류, 곤충 및 야생동물 박제표본 등을 전시하고 관광객을 대상으로 생태교육도 실시하며 야생동물 보호에 대한 국민들의 인식을 증진할 계획이다. □ 원주지방환경청 관계자는 “올해 열목어 방류사업을 시범적으로 추진한데 이어 내년부터는 관계기관과 협약을 체결하고 평창 동계올림픽이 열리는 2018년까지 평창 오대천을 비롯해 평창 봉평천, 동강 상류 지역인 기화천 등에서 열목어 복원사업을 지속적으로 추진할 계획”이라고 밝혔다. □ 한편, 원주지방환경청은 2012년 생태계복원 프로젝트로 멸종위기종인 붉은점모시나비(2012.6.7.)와 물장군(2012.8.31.)을 복원한데 이어열목어 복원을 추진하는 등 생물다양성 확보를 위한 노력을 지속적으로 전개하고 있다.
D0000042496474||- 동작구 경제진흥재단 설립계획 수립 중간보고 - 동작구 상권르네상스 사업 성공적 추진 Ⅰ 설립개요 설립근거 「전통시장법」제19조의 8(상권관리기구의 설치) 「지방출자출연법」제4조(지방자치단체의 출자·출연과 대상사업 등) 「민법」제32조(비영리법인의 설립과 허가) 「지방 출자·출연기관 설립기준」(2021. 2월 행정안전부) 「서울특별시 동작구 출자·출연기관의 운영에 관한 조례」 재단명 : 동작구경제진흥재단(가칭) 설립시기 : 2021. 12월(예정) 운영재원 : 동작구 상권르네상스 사업비, 구 출연금 등 Ⅱ 재단 설립계획 수립 설립계획 수립 근거규정 : 지방 출자·출연기관 설립기준 제14조에 ‘지방자치단체는 사전 협의 이행 후 설립계획을 수립하여야 한다’ 고 규정 수립방법 : 용역업체를 통한 설립계획 수립 내용 - 설립 근거, 설립 필요성, 설립 형태, 운영방안 등 설립개요 - 설립 후 5년간 연도별 예상 수입과 지출(사업수지) - 설립 후 5년간 기구와 인력의 운영 계획 등  재단 설립계획 주요내용 설립개요 - 설립근거 :「전통시장법」제19조의 8 ‘지방자치단체는 상권활성화사업을 효율적으로 추진하기 위하여 상권관리기구를 설치할 수 있으며, 상권관리 기구는「민법」에 따른 비영리법인으로 한다’ - 설립형태 : 재단법인(구 출연금 1천만원) 5년간 사업수지 - 타당성 분석결과2) : 순현재가치(NPV)와 비용편익비(B/C Ratio)등 모두 타당성이 있는 것으로 분석
78664_6||「미래부-산업부 나노융합확산 협력전략」발표  공동 로드맵 작성 및 과제기획 상호 참여  □ (배경) 나노기술은 산업의 기반기술로, 기초-응용-상용화 등 R&D 전주기에 걸쳐 산업적 활용을 고려한 로드맵 작성 및 과제기획 필요 □ 추진 내용 ① 국가 나노기술지도 공동 작성 및 활용 ㅇ (개요) 중장기 국가 나노기술개발 로드맵인 국가 나노기술지도* 작성에 산업부 등 관계부처가 적극 참여하고 이를 산업핵심 R&D 전략수립 및 과제기획에 활용 * 나노기술개발촉진법 제6조에 의거, 매5년마다 미래부에서 작성(2008년 1기 지도 수립) ㅇ (추진방향) 기술 스펙 위주의 미시적 기술지도에 벗어나, 나노기술의 산업적 파급효과를 고려한 목표지향적 연구개발 및 투자전략 제시 ㅇ (구성) 미래부 주관으로 산업부 등 관계부처와 부처 추천 산학연 전문가*가 공동 참여 * (총괄팀) 산기평 관련 PD 4～5명, (분과별) 산업부 추천 산․학․연 전문가 참여 ㅇ (활용) 국가중점과학기술 전략로드맵(‘14년 수립예정) 및 산업부 산업기술 R&BD 전략(매년 수립)에 반영 ㅇ (추진일정) 제2기 나노기술지도(안) 작성(2014.1), 국가과학기술심의회 심의․확정(2014.2) ② 양 부처 R&D 과제 기획 상호 참여 ㅇ (개요) 양 부처 주요 나노 R&D 과제 기획 시, 양 부처 R&D 기획 전문가*가 상호 참여하여 기획방향 공유 및 중복성 제거 * 연구재단 나노PM, 산기평 나노PD 등 ㅇ (대상사업) 나노․소재원천기술개발(미래부), 산업융합기술산업핵심 기술개발(산업부) ㅇ (전문가 역할) 해당 부처 R&D 기획방향 설명 및 공유, 기획대상 과제 리뷰 및 중복성 검토 ㅇ (추진일정) 2014년도 과제기획부터 상호 참여 (2014.1월)
928740_4||환경과학원-나사, 정지궤도 환경위성 산출 자료 공유한다 전문용어 설명 ❍ 정지궤도(Geostationary Orbit) : 위성은 지상에서 약 36,000km 떨어진 우주에서 지구의 자전 속도와 동일한 속도로 회전함. 정지궤도란 지구상에서 보았을 때 항상 정지하고 있는 것처럼 보이는 궤도 ❍ GEMS(Geostationary Environment Monitoring Spectrometer) : 환경부에서 개발 중인 정지궤도 환경위성 탑재체(H/W)로 태양빛의 파장 종류에 따라 서로 다른 1,000개의 파장별 사진을 찍어 지구에 반사되어 우주로 되돌아 갈 때 대기 중 오염물질을 통과하면서 흡수/반사되는 세기에 따라 대기오염물질의 농도를 결정 ❍ TEMPO(Tropospheric Emissions: Monitoring of Pollution) : 미국 NASA에서 개발 중인 정지궤도 환경위성 탑재체(H/W)로 한국에서 개발 중인 GEMS와 유사한 성능을 보유
164153_3||현장밀착형 新산업 규제 해소로 매출․투자․일자리 창출 추진 - 국민생활 밀착형 2건, 그린뉴딜 3건, 디지털뉴딜 16건 규제특례 허용 - 【 제2차 산업융합 규제특례심의위원회 주요내용 】 (안건2) 반려동물 사료 즉석조리·판매 서비스 : 실증특례 “반려 동물 사료, 이제 맞춤형 즉석 조리 시대!” □ (신청 내용) ㈜올핀은 ‘반려동물의 특성에 따라 사료(펫푸드)를 즉석 조리·판매하는 서비스’ 대한 실증특례를 신청하였다. ㅇ 주인이 앱 또는 매장 내 웹을 통해 반려동물 정보와 기호 등을 입력하면 신청기업이 영업장에서 반려동물 사료를 즉석조리하여 테이크 아웃(포장) 또는 배달하는 사업을 실증한다. □ (현행 규제) 판매용 반려동물 음식은 사료관리법에 따라 양축용 사료와 동일한 제조시설을 갖춰 제조업 등록을 해야 하며(소규모 조리·판매서비스 규정 부재), 사료종류·성분 등도 시·도지사에게 판매 前 등록하여야 한다. □ (심의 결과) 규제특례위는 맞춤형 펫푸드를 소규모 조리·판매하는 경우, 기존 대규모 제조시설 기준이 부적합하나, 안전성·유효성 검증이 필요한 점을 고려, 농식품부 제시 조건* 이행을 전제로 실증특례를 부여하였다.  * 메뉴제한, 사료中 사람이 먹을 수 있는 원료만 사용, 주기적 자가품질검사 등 ㅇ 초기에는 7개 메뉴만 우선 제공*, 최종 판매는 서울시에 한해서만 실증사업을 수행하도록 하였다.  * 스테이크, 버거, 피자, 삼계탕, 곰탕, 볶음밥, 샐러드 등 → 실증사업 개시이후 농식품부와 협의하여 메뉴 확대 가능(영업장 內 취식 불가, 포장·배달 판매만 가능) □ (기대 효과) 신청기업의 서비스는 반려동물 개체별 특성 및 영양상태, 기호·취향 등 다양한 수요 반영이 가능하여 소비자에게 새로운 경험을 제공할 것으로 기대되며, ㅇ 이번 실증을 통해 안전성과 품질이 검증된다면, ‘펫푸드 음식점’과 같은 新서비스 창출과 반려동물 사료산업의 新시장 개척도 가능할 전망이다.
78549_12||산업융합 新시장, 우리가 이끈다 - 산업부, 산업융합 선도기업 20개社 및 산업융합품목 45개 선정 - 2013년 산업융합 선도기업 선정 20개社 6.‘에너지(Energy) 선도形’ □ 다원디엔에스(대표 여운남)는 2009년 국내 최초로 개발한 실시간 전력 환산 제품(파워매니저)를 통해 중소기업 제품으로 이마트 등 대형할인점 입점에 성공하였으며, 일본 에너지매니지먼트업체와 공급계약을 체결하는 등 스마트 절전제품을 통한 성장하고 있는 기업 ※ 단순 절전형 플러그를 스마프폰과 연결한 파워매니저라는 통합형 솔루션을 개발·제공하는 기업 7.‘공장자동화(Factory Automation) 선도形’ □ 자비스(대표 김형철)는 공장자동화(FA) 장비개발에 다년간 경험을 축적한 개발 인력들이 모여 설립한 회사로, 기업의 애로 공정에 대하여 검사 및 조립 공정을 자동화함으로써 품질 향상 및 품질 안정 확보를 위한 검사장비, 관련 소프트웨어 등을 개발 및 생산하는 기업 ※ 기계, 소재, 전기전자를 융합한 나노스케일의 3차원 X선 단층촬영 자동검사 시스템을 보유한 기업
28278||국가직 9급 공채 필기시험 합격자 2,181명 발표 - 여성합격자 예년 수준, 33세 이상 합격자 19.9%(434명) 차지 - □ 행정안전부는 2011년도 국가직 9급 공개경쟁채용시험 필기시험 합격자 2,181명의 명단을 확정하여 6월 22일(수) 18시 사이버국가고시센터(http://gosi.kr)를 통해 발표했다. □ 최종 1,529명을 선발하는 올해 시험은 지난 4월 9일(토) 시행한 필기시험에 105,085명이 응시하여 68.7 : 1의 경쟁률을 보였다. □ 전체 합격자의 평균점수는 84.0점으로 지난해 79.8점보다 4.2점 높아졌으며, 응시인원이 가장 많은 일반행정(전국모집)의 합격선도 87.00점으로 지난해 80.5점 보다 6.5점 상승했다. ○ 필기시험이 끝난 후 언론사와 공무원 시험 전문기관이 공동 진행한 설문조사 결과 이번 시험이 예년보다 쉬운 것으로 나타나 합격선이 지난해보다 올라갈 것으로 예측한 바 있다.
34174_55||2017 경기도 아동학대예방 세미나 아동학대예방 및 효과적인 대응을 위한 지역사회 협력체계 구축 방안 아동학대 예방 및 대응을 위한 정신건강증진서비스 지역사회 기반 정신건강증진서비스를 살펴보면 지역사회 정신건강증진서비스는 1995년 정신보건법 제정으로부터 전 시․군․구에서 시행되어지고 있고 전국에는 광역정신건강증진센터 15개, 기초정신건강증진센터 209개, 총 224개 정신건강증진센터가 운영 중이다. 그러나 경기도 내 지역정신건강증진센터 37개소 중 수원, 성남, 고양 지역에서만 아동․청소년정신건강증진센터가 별도로 설치 운영되어지고 있고 34개소 지역정신건강증진센터에서는 생애주기별 정신건강증진서비스 안에서 아동․청소년정신건강증진서비스가 제공되어지고 있다. 지역정신건강증진센터에서의 아동청소년정신건강서비스 흐름과 업무현황을 살펴보면 다음과 같다.
1213975||생태계의 열쇠 – 양서.파충류 특별전- 남생이 등 희귀 양서. 파충류 체험기회 - □ 국립중앙과학관(관장 ***)은 오는 7.1(화)~7.27(일)(27일간)까지 국립중앙과학관 생물탐구관 특별전시실에서 ‘생태계의 열쇠-양서.파충류’ 특별전을 개최한다고 밝혔다. o 이번 특별전은 한국의 양서류, 파충류 등 약 20종을 비롯해 세계의 파충류 약 25종으로 구성하였으며, 특히 멸종 위기 종 남생이, 금개구리를 선보일 계획이다. o 또한, 직접 만져보며 체험할 수 있는 ‘터치 풀장’을 구성하고, 살아있는 양서.파충류 특성에 대한 설명과 함께 뱀 체험 등 체험존도 마련하여 관람객들에게 양서.파충류에 대한 재미와 친숙함을 더할 수 있는 기회가 될 것이다. □ 이번 특별전을 통해 어린이와 일반인에게 자연은 인간이 살아가는 삶의 터전이며 수많은 생명체가 조화를 이루어 살아가는 생태계라는 것을 보여주어 다양한 양서파충류 생물의 폭넓은 이해를 높이고자 하였다. o 국립중앙과학관을 찾은 관람객이면 누구나 입장 가능하고, 특히, 방학을 맞이한 유치원생과 청소년들에게 살아있는 양서.파충류체험 교육의 장이 될 것이다.
78085_1||“APEC 표준인프라 가이드라인”우리나라가 개발 보급한다. - 기술표준원, 인도네시아에서 APEC과 공동워크숍 개최 -  □ 기술표준원(원장: 성시헌)은 APEC 실무자급 회의가 개최된 인도네시아 메단에서 지난 6.23일에 APEC 표준인프라 가이드라인 개발에 관한 워크숍을 APEC과 공동 개최함 * APEC(Asia-Pacific Economy Cooperation; 아시아-태평양지역경제협력체) ㅇ 이번 워크숍에는 미국, 일본, 중국, 인도네시아 등 APEC 주요 21개국 40여명의 정부대표와 표준전문가들이 참석하여 표준화 조직, 예산, 인력 및 이행확산 등 자국의 표준인프라 현황을 발표함 □ APEC은 이번 워크숍을 통해 회원국들이 각기 다르게 해석하여 운영하고 있는 표준인프라에 대한 내용을 역내 회원국이 공통으로 적용할 수 있도록 가이드라인을 개발하기로 함 ㅇ 가이드라인은 역내 회원국들과의 설문조사와 논의를 통해 표준 보급, 예산 확보 방안, 표준화조직, 전문가 양성, 표준화전략 등의 내용으로 구성될 예정임 □ 특히, 이번 워크숍은 APEC 국가들이 해결해야 하는 표준인프라에 대한 문제해결을 도모하기 위한 행사로 회원국들의 큰 호응을 얻었으며 APEC 뉴스에서도 자세히 소개함
343006||12월 3일부터 당구장, 스크린 골프장도 금연구역! □ 당구장, 스크린 골프장 등 실내 체육시설이 올해 12월 3일부터 금연구역으로 지정된다. ○ 개정 국민건강증진법이 12월 3일부터 시행됨에 따라 당구장 등 해당 업종의 업주 등은 금연구역 안내 표지판 또는 스티커를 건물 출입구, 계단, 화장실 등 주요 위치에 의무적으로 부착하여야 하고, 이를 위반하면 최대 500만원의 과태료가 부과될 수 있다. * 관할 시군구청에서 우선 시정명령 후 이후부터 1차 170만원 2차 330만원 3차 이상 500만원 부과(국민건강증진법 제9조제8항 및 동 법 시행령 별표5) ○ 한편, 당구장 등 금역구역에서 흡연할 경우 부과되는 과태료*는 3개월간의 계도기간(2017.12.3 ~ 2018.3.2)을 운영할 방침이다
83615||수도권지역 미세먼지 10년내 반으로 줄인다 미세먼지(PM10 이하) 저감대책 1. 미세먼지 발생원 및 영향 □ 미세먼지 오염 현황 ○ 서울, 인천, 경기 등 수도권 지역의 미세먼지 오염도 증가 추세 - 부산, 광주 등 기타 비수도권 지역은 감소 추세이나, 여전히 크게 개선되지는 않음 ○ 수도권 지역과 광역시 등 국내 대도시의 미세먼지를 외국 주요 도시와 비교할 경우 약 2～3배로 높은 수준임 ○ 미세먼지의 단기환경기준(150㎍/㎥/24h)에서는 수도권지역을 중심으로 초과횟수 증가 □ 발생원별 미세먼지 총배출량 ○ 전국의 미세먼지 총배출량('02년 68,890톤)의 56%가 이동오염원(도로 및 비도로 이동)에서 비롯됨 - 에너지 산업 및 제조업 연소, 생산공정 등의 사업장에서도 40% 차지 ※ 비도로는 철도, 선박, 항공, 농업기계 등 포함 ※ 기타는 비산업 연소 포함 ○ 수도권 지역은 미세먼지 총배출량(‘02년 15,574톤)중 이동오염원에서 83%, 사업장은 12%, 기타 5%를 차지 - 이동오염원중에서 경유자동차가 가장 많이 미세먼지를 배출하여 수도권 전체 배출량의 67% 차지 ․'04년 말 현재 전국 총 경유차량(5,385천대) 중 2,247천대(41.7%)가 수도권에 집중
163864_4||2050 탄소중립, 분산에너지 시스템으로 뒷받침한다! [과제 ③ : 제주지역 재생에너지 출력제어 최소화 방안] ㅇ 제주도內 재생에너지 증가로 전력수요를 초과하는 전력공급이 발생함에 따라 재생에너지 출력 제어도 불가피하게 증가*하는 바, 이를 최소화하는 방안도 추진 중이다. * 연도별 제주 출력제어 추이(제어횟수/제어량<MWh>) [2015] 3회/152 → [2017] 14회/1,300 → [2019] 46회/9,223 → [2020] 77회/19,449 ㅇ 제주-육지간 #1, #2 HVDC는 육지에서 제주도로만 전력을 보냈으나, 역송성능을 확보하여 제주도내 잉여전력을 육지로 전송할 예정이며, 2021년 제주도내 재생에너지 수용능력이 최대 342MW까지 증가할 전망이다. ㅇ 나아가 제주-육지간 전력수급 상황에 따라 실시간 양방향 전송이 가능한 #3 HVDC를 2022년말에 준공하면, 제주도내 재생에너지 수용량은 400MW가 추가될 예정이다.
163756_8||「철강 인공지능」이 제조업의 미래를 앞당긴다. - 산업 디지털전환(DX) 확산 본격 시동 - □ “철강 디지털 전환 연대”와 “스틸-AI 전략”은 철강 산업의 디지털 전환에서 발생하는 어려움을 연대와 협력을 통해 극복하고, 나아가 생태계 역량을 고도화하여 산업 체질을 개선하기 위한 프로젝트임 ㅇ ‘스틸 AI 추진방향’에 따라, 철강산업의 디지털 전환은 제조 공정별 디지털 전환 가속화, 철강 생태계의 지능화, 안전·환경문제 해결 3가지 방향에서 중점 추진될 예정 (제조 공정 디지털 전환) 탄소중립 시대에 더욱 중요한 “전기로”를 AI로 조업하는 설비로 완전히 탈바꿈시키고, 수입에 의존중인 철강센서를 자립화하는 등 각 공정별로 적합한 스틸-AI를 현장에 적용 * (전기로 탈바꿈 예시) 1단계 AI 기술개발(2017∼2021, 철스크랩 최적 장입, 슬래그 포밍 분석 등) → 2단계 후속 기술개발 추진(2022~, 전기로 배가스 분석, 집진 자동제어 등) - AI 기반의 원료·전력 관리 등 철강 공정의 전·후방 산업까지 디지털 전환을 확장하여 효율성을 극대화하는 방안도 적극 추진 * (원료) AI에 기반해 철스크랩의 등급·품질을 신뢰성 있게 분석하여 시장을 선진화 (전력) 제철소의 전력 계통을 정밀 진단하여 에너지 관리를 최적화
1421515_4||10월 정보통신기술(ICT) 수출 202.1억불, 수입 100.4억불 - 최근 3개월 연속 200억불 기록, 반도체 단일품목 연간 수출 1,000억불 돌파 - (수출 현황) □ 품목별 실적 및 특징 ㅇ (반도체 : 117.1억불, 21.5%↑) 메모리 및 시스템 반도체 동시 증가 등으로 6개월 연속 100억불대 기록, 연간 단일 품목 누적 수출 1,000억불 기록 ※ 수출 증감률(%) : (2018.6월) 37.5 → (7월) 30.2 → (8월) 30.4 → (9월) 26.9 → (10월) 21.5 ※ D램 현물가격(4Gb, $) : (2018.6월)4.07 → (7월)3.99 → (8월)3.80 → (9월)3.67 → (10월)3.37 ㅇ (디스플레이 : 24.4억불, △10.5%) 기저효과로 인한 OLED 패널 수출액 감소 및 중국의 LCD 패널 생산 확대로 인한 경쟁 심화 등으로 감소세 지속 ※ 수출 증감률(%) : (2018.6월)△8.6 →(7월) 2.6 →(8월) 5.6 →(9월)△11.1 →(10월)△10.5 ※ OLED 수출 증감률(%) : (2018.6월)13.5 →(7월)43.8 →(8월)52.5 →(9월)5.6 →(10월)△18.7
319061_33||따뜻한 농정 더불어 잘사는 농업 농촌 Ⅲ. 2019년 중점 추진과제 2 스마트(첨단) 농업 확산 나. 추진계획 [혁신 밸리(혁신 단지) → 혁신 생태계 조성 → 새로운 시장 창출] □ 실증단지를 조성하여 전후방 기업(기자재 식품 생명)이 농업인 연구 기관과 공동으로 새로운 제품 기술 개발 활성화 ㅇ 기업과 연구기관이 실증 협의체를 구성(2019.초)하여 기능성 아열대 작물 시험재배, 핵심 기자재의 국산화 등 추진 □ 스마트 팜(첨단 농장)에서 생산되는 생육․재배 정보 등 빅데이터(거대 자료)를 공유 거래할 수 있는 개방형 플랫폼(기반) 구축(2019~2021년) ㅇ 혁신 밸리(혁신 단지) 내 양질의 빅데이터(거대 자료) 확보를 위한 수집 표준을 마련(2019)하고, 농가단위빅데이터(거대자료) 수집확대(2018: 243호→2019: 373) ㅇ 스마트 팜(첨단 농장) 장비 간 호환성 확보 및 유지관리 효율화를 위한 기자재 국가표준 제정(2018: 시설원예 22종 → 2019: 축산 11종)
D0000042441784||제목 공사 입찰 공고 [인수봉로77길 주변(1구간) 사각형거 보수공사] 1. 안전치수과-8336(2021. 4. 22.)호 관련입니다.  2. 공사 계약 건에 대하여 아래와 같이 입찰 공고하고자 합니다.  가. 입찰건명: 인수봉로77길 주변(1구간) 사각형거 보수공사 - 긴급 나. 공고방법: 나라장터(G2B) 공고 다. 기초금액: 금370,913,000원(금삼억칠천구십일만삼천원) 라. 공고기간: 2021. 4. 27.(화) ~ 2021. 5. 4.(화) 마. 입찰서제출(투찰)기간: 2021. 4. 29.(목) 14:00 ~ 2021. 5. 4.(화) 14:00 바. 개찰일시: 2021. 5. 4.(화) 15:00 사. 경쟁방법: 제한공개경쟁(지역제한)  아. 공고번호: 서울특별시 강북구 재무공고 제2021-96호
50693||2015년도 중소기업제품 공공구매목표(안) 나. 성과 및 보완필요사항 □ 성과 ◦ 중기제품 구매비율이 구매목표비율제도 도입이후 최초로 70%대에 진입하는 등 중기제품 공공구매의 지속적인 확장세 유지  - 특히, 공공기관의 총 공공구매액 감소에도 불구하고 우선구매대상 제품의 공공구매액은 2013년대비 크게 증가  * 기술개발제품 3%↑, 여성기업제품 22.5%↑, 장애인기업제품17.6%↑ ◦ 여성기업제품 의무구매제도 시행 첫해에 법정구매율 초과달성  * 물품 총 구매액의 5.4%, 공사 총 구매액의 4.2%, 용역 총 구매액의 6% 구매 □ 보완필요사항 ◦ 공공구매제도 미이행기관 존재  - 중기제품 구매실적이 법정구매비율(50%) 미만 기관은 23개  * 이중 5개기관은 협의를 통해 ’14년 구매목표를 50%미만으로 설정하여 해당목표를 달성  - 공공구매제도 위반 입찰에 대한 시정권고의 불응건수는 감소, 시정권고 이행률은 정체  * 시정권고/불응건수(이행률) : (2013) 2,475 / 211건(91.5%)→ (2014) 2,213 / 192건(91.3%) ◦ 기술개발제품 구매실적은 다소 미흡  - 공공기관의 인식개선 등으로 기술개발제품 권장구매율(10%) 달성율은 대폭 증가하였으나,  * 권장구매율 달성기관 : (2013) 147개, 28.4% → (2014) 296개, 39.7%  - 권장구매율 미달성기관이 449개(60.3%)에 달하고, 구매실적이 없는 기관도 145개(19.5%)*로 높은 수준  * 기술개발제품 미구매 기관 : (2013) 169개, 33% → (2014) 145개, 19.5%
157319||한국-러시아간 자원협력을 지속적으로 확대 □ 이번 러시아 방문 계기에 우태희 통상차관보는 유라시아경제연합(이하 EEU) 슬레프네프(Slepnev) EEU 통상 장관과 양자 면담을 갖고, 한국-EEU간 경제협력협정 추진방안에 대해 협의했다. * ECA(Economic Cooperation Agreement, 경제협력협정) * EEU(Eurasian Economic Union)는 러시아, 벨라루스, 카자흐스탄, 아르메니아, 키르키즈스탄 등이 관세동맹을 발전시켜 설립(2015.1)한 유라시아경제연합 ㅇ EEU 국가들은 풍부한 자원을 보유하고 있으나, 산업기반이 아직 취약하고 한국의 발전모델에 관심이 많아 협력 잠재력이 큰 만큼 우리가 관심을 기울어야 할 국가들이다. ㅇ EEU와의 협력증대는 정부의 ‘유라시아 이니셔티브’ 실현을 위한 추진방안의 하나로서, 앞으로 EEU와 경제협력 플랫폼을 구축하면 이 지역에 우리기업들의 진출이 더욱 활발해 질 것으로 보인다. □ 산업부는 제14차 자원협력위를 계기로 러시아와 에너지자원 분야 협력을 지속하는 한편, EEU와 경제협력 기반구축을 통해 유라시아지역 국가들로 협력을 확대해 나가기로 했다.
159404||주요 업종 수출점검회의 개최 □ 산업통상자원부는 6.16(금) 15:00 산업통상자원부 대회의실에서 이인호 1차관 주재로 주요 업종 수출 점검회의를 개최하여 6월 수출동향을 점검하고, 수출 관련 업계 애로사항 및 해결방안 등을 논의하였다. ㅇ 이번 회의는 11개 주요 업종 협단체*와 코트라․무역보험공사 등 수출지원기관이 참석한 가운데 업종별 수출 동향과 수출 관련 업계 애로사항을 점검․관리하기 위해 개최되었다. * 반도체협회, 자동차협회, 자동차협동조합, 조선협회, 전자정보통신진흥회, 철강협회, 석유화학협회, 석유협회, 기계산업진흥회, 섬유산업연합회, 디스플레이협회 □ 이인호 차관은 “최근 우리 수출이 7개월 연속 증가하는 등 견고한 회복세를 시현중이며, 6월 수출도 증가세를 유지할 전망이나, 연간 전체로는 상고하저 흐름이 예상되어 하반기로 갈수록 수출여건이 녹록치 않을 것”이라고 말하면서, ㅇ “최근 유가의 전년동기대비 하락 반전, 美 금리 인상에 따른 신흥국 수입수요 위축 가능성, 미․중의 보호무역주의 강화 등이 하반기 우리 수출에 하방리스크로 작용할 것으로 예상되며, - 특히, 4분기 수출은 전년대비 조업일수 감소(△5.5일), 선박 인도물량 감소 등으로 전년대비 감소 가능성도 있다“고 밝혔다.
64175_0||전북혁신도시 이전공공기관 이전지역인재 양성에 힘 보탠다 - 지방자치인재개발원･한국전기안전공사 지역대학생 대상 지역교육과정 운영 - □ 그 동안 전라북도와 이전공공기관은 혁신도시가 지역 성장거점으로 자리 잡을 수 있도록 지역연계사업을 발굴하고, 이전지역인재 육성에 실질적으로 기여할 수 있는 사업을 유도‧참여해 왔다. ○ 이에, 자치인재원, 한국전기안전공사가 기관 특성에 적합한 지역 교육과정을 2018년에 운영하기로 약속하고 본 협약을 체결하게 되었다. □ 구체적으로, 지방자치인재개발원은 자체 교육과정을 개방하여 지역대 학생이 다양한 교육에 참여할 수 있도록 하였다.  ○ 2018년에는 대학생 취업 및 창업지원에 대한 사업을 소개하고, 국제화 역량 강화 교육에 학생들이 참여하는 시범운영을 실시한다. ○ 2019년부터는 지역대학 의견을 수렴하여 학점을 인정받는 오픈캠퍼스를 운영하여 대학생이 다양한 교육기회를 경험하여 지역인재로 성장하는데 도움을 주고자한다.  □ 한국전기안전공사는 지역대학 재학생을 대상으로 ‘전기설비 Basic과정’을 계획하였다.  ○ NCS(국가직무능력표준)* 기반으로 설계된 본 과정은 공사업무에 대한 전반적인 직무수행에 초점을 맞춘 현장실습 중심 프로그램으로, 하계방학 중 총2회 운영하며, 전북대 등 6개 대학에서 추천한 80명 (회당 40명)의 학생들이 참여한다.  ○ 참가자들은 해당 대학학칙에 따라 학점을 인정받을 수 있고, 대학측에서 건의한 공사 채용제도 안내와 성적우수자(상위 10%)에 대한 공사 모의면접도 체험할 수 있다. * 산업현장에서 직무를 성공적으로 수행하기 위해 필요한 지식·기술·태도 등을 국가적 차원에서 표준화한 채용방법
65603_3||행정안전부, 내년도 예산 이렇게 편성된다. - 정부혁신ㆍ전자정부, 일자리ㆍ균형발전, 재난안전 분야 예산 대폭 증액 - □ 국민의 눈높이에 맞는 과거사 문제 해결을 통한 사회통합 추진 ○ 부마민주항쟁 40주년 기념행사 추진(+10억) ○ 민주화 운동을 기념하기 위해 (가칭)「민주인권 기념관」건립(+6억) ○ 국립대일항쟁기 강제동원역사관 내 강제동원 희생자 위패관 조성(+8억) □ 행정안전부는 2019년도 예산안을 편성하면서, 국민생활과 밀접하고 지역주민이 원하는 사업에 투자 계획을 마련하고, 그 성과를 국민들이 체감할 수 있도록 최선의 노력을 다할 계획이다. □ 2019년도 행정안전부 예산안은 국회의 심의를 거쳐 금년 말에 최종 확정될 예정이다.
